                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8344,                 3.5779,                 2.4106,                 0.0045,                0.97794,                0.06062,                0.01958,                 1.5821,                  4.571,                 2.7993,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.5342,                 3.2832,                 2.2324,                0.00363,                      1,                0.14261,                0.07004,                 1.1123,                 4.2292,                 2.5967,               0.088284,              0.0012839,              0.0012839
                      2,                 1.2945,                 2.9655,                 1.9728,                0.00368,                      1,                0.28452,                0.12078,                 1.2733,                 4.2219,                 2.8475,               0.081951,              0.0019505,              0.0019505
                      3,                 1.1553,                 2.4354,                 1.7573,                0.00389,                      1,                0.36717,                 0.1545,                 1.4645,                 4.2406,                 3.1566,                 0.0756,              0.0025998,              0.0025998
                      4,                 1.3101,                  2.267,                 2.0071,                0.00869,                0.91912,                0.45768,                0.22497,                 1.3897,                 4.1725,                 2.7141,               0.069232,              0.0032317,              0.0032317
                      5,                 1.2126,                  1.988,                 1.8203,                 0.0078,                0.97794,                0.44926,                0.18599,                 1.4169,                 4.1475,                 2.8337,               0.062846,              0.0038463,              0.0038463
                      6,                  1.174,                 1.9096,                 1.8088,                0.62637,                 0.4375,                0.40603,                0.16686,                 1.7355,                 4.0973,                 3.1528,               0.056444,              0.0044436,              0.0044436
                      7,                  1.163,                 1.7563,                 1.7355,                0.92031,                0.23438,                0.55292,                0.28648,                 1.3677,                 3.7853,                 2.7378,               0.050024,              0.0050236,              0.0050236
                      8,                 1.2146,                 1.6453,                 1.7465,                0.80308,                0.07263,                0.43489,                0.20167,                 1.3682,                 3.8607,                 2.7845,               0.043586,              0.0055862,              0.0055862
                      9,                 1.1424,                 1.6188,                 1.7386,                0.63958,                  0.125,                0.38945,                0.12555,                 1.7013,                 3.9543,                 3.3354,               0.037132,              0.0061315,              0.0061315
                     10,                 1.0944,                  1.518,                 1.6389,                0.74304,                0.23438,                0.40801,                0.15371,                 2.0922,                 3.8958,                 3.7808,                0.03066,              0.0066595,              0.0066595
                     11,                 1.1198,                  1.564,                 1.7612,                0.69678,                 0.0625,                0.14828,                0.07019,                 1.5839,                 3.8887,                 2.9195,                0.02417,              0.0071702,              0.0071702
                     12,                 1.1005,                 1.5871,                 1.7093,                0.65025,                0.20312,                0.31988,                0.12095,                 1.6761,                 3.8471,                 3.1429,               0.017663,              0.0076635,              0.0076635
                     13,                 1.1081,                 1.5937,                 1.7048,                0.60837,                   0.25,                0.21509,                0.06819,                 2.4937,                 3.9577,                 3.6837,                0.01114,              0.0081395,              0.0081395
                     14,                 1.0497,                 1.4178,                 1.6321,                0.67595,                   0.25,                0.27135,                0.07481,                 1.8638,                 4.5053,                 3.3814,              0.0082675,              0.0082675,              0.0082675
                     15,                 1.0446,                 1.3988,                 1.6548,                0.66631,                0.26562,                0.28065,                 0.0789,                 2.1139,                 6.3836,                 4.1134,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.1421,                  1.539,                 1.7487,                0.64904,                0.23438,                0.24036,                0.08803,                 1.9706,                 4.0707,                  3.537,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.2266,                 1.5031,                 1.8136,                0.75333,                   0.25,                0.29589,                 0.1585,                 1.6713,                 4.0549,                 3.0808,                0.00802,                0.00802,                0.00802
                     18,                   1.12,                 1.3583,                 1.6646,                0.53672,                0.04688,                0.01172,                0.00304,                 4.1348,                  5.853,                 5.8452,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.1463,                 1.3903,                 1.6857,                0.61675,                0.07812,                0.08862,                0.04245,                 2.7182,                 5.0458,                 4.2318,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.0814,                 1.3305,                 1.6806,                0.67223,                0.15625,                0.11821,                0.05185,                 2.2888,                 4.7949,                 3.6509,              0.0076488,              0.0076488,              0.0076488
                     21,                  1.171,                 1.3542,                 1.7229,                0.58962,                0.15625,                0.08254,                0.03126,                 2.1573,                 4.3232,                 3.9297,               0.007525,               0.007525,               0.007525
                     22,                 1.0897,                 1.3571,                 1.6139,                0.58039,                0.28125,                0.09069,                0.03273,                 2.0917,                 5.5531,                 4.1282,              0.0074013,              0.0074013,              0.0074013
                     23,                 1.0274,                 1.2308,                 1.6168,                0.56738,                0.21875,                 0.0968,                0.02785,                 2.2512,                 3.7809,                 4.8144,              0.0072775,              0.0072775,              0.0072775
                     24,                0.97933,                 1.2541,                 1.5536,                0.55765,                 0.3125,                0.10558,                0.03221,                 2.0021,                 4.0896,                 4.2005,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.0389,                 1.1613,                  1.599,                0.56395,                0.20312,                0.06593,                0.01705,                 2.1803,                 4.0068,                 4.1492,                0.00703,                0.00703,                0.00703
                     26,                 1.0107,                 1.1758,                 1.5896,                0.54957,                0.26562,                0.07733,                0.01635,                 2.2005,                 4.2062,                 4.1033,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.0092,                 1.1402,                 1.5702,                0.58115,                0.35938,                0.12796,                0.04517,                 2.0371,                 4.2514,                 3.7781,              0.0067825,              0.0067825,              0.0067825
