                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.53872,                  2.115,                 1.3075,                0.49392,                0.97924,                0.55304,                0.40036,                 1.1186,                 2.2736,                 1.2619,               0.070297,              0.0033003,              0.0033003
                      1,                0.24425,                 1.0649,                 1.0363,                0.55107,                0.88196,                0.74343,                0.62775,                 0.6534,                 1.6678,                 1.2839,               0.040215,              0.0065516,              0.0065516
                      2,                0.27666,                0.84443,                 1.0388,                0.69131,                0.84399,                0.80403,                0.66148,                0.73929,                 1.3547,                 1.2437,                0.01005,              0.0097203,              0.0097203
                      3,                 0.2675,                0.79906,                  1.022,                0.67045,                 0.7891,                0.79052,                 0.6732,                0.41664,                 1.4132,                 0.8502,              0.0096288,              0.0096288,              0.0096288
                      4,                0.25009,                0.71936,                 1.0053,                0.63331,                0.70553,                0.72575,                0.56727,                0.69732,                 1.3848,                 1.0434,              0.0096288,              0.0096288,              0.0096288
                      5,                0.22265,                0.63935,                0.97646,                0.66333,                0.88829,                0.88299,                0.85736,                0.34051,                 0.8686,                0.64595,               0.009505,               0.009505,               0.009505
                      6,                0.21559,                0.58914,                0.98127,                0.86578,                 0.8979,                0.96059,                0.92374,                0.34395,                0.61964,                0.59047,              0.0093813,              0.0093813,              0.0093813
                      7,                0.20051,                0.53762,                 0.9625,                0.72946,                0.87479,                0.93881,                  0.905,                0.34051,                0.87212,                 0.5835,              0.0092575,              0.0092575,              0.0092575
                      8,                0.19109,                0.54792,                0.95634,                 0.8643,                0.88799,                0.96652,                0.89066,                0.33157,                0.68863,                0.61129,              0.0091337,              0.0091337,              0.0091337
                      9,                0.18861,                0.50317,                0.95575,                0.84877,                0.88819,                0.96324,                0.94766,                0.23527,                0.54811,                0.49287,                0.00901,                0.00901,                0.00901
                     10,                0.17299,                0.49089,                0.94845,                0.70426,                 0.8522,                0.92452,                0.92157,                0.23408,                 1.0713,                0.43647,              0.0088863,              0.0088863,              0.0088863
                     11,                0.17116,                 0.4769,                0.94693,                0.73354,                0.85266,                0.92909,                0.92134,                 0.2277,                0.73183,                0.48013,              0.0087625,              0.0087625,              0.0087625
                     12,                0.16549,                0.48192,                0.94387,                0.87771,                0.90565,                0.96788,                0.93777,                0.31815,                0.48734,                0.52241,              0.0086388,              0.0086388,              0.0086388
                     13,                0.15941,                0.43808,                 0.9302,                 0.8325,                0.88568,                0.94569,                0.92273,                0.26035,                0.58042,                0.49995,               0.008515,               0.008515,               0.008515
                     14,                0.15251,                 0.4233,                0.92991,                0.68845,                0.83101,                0.89564,                0.81141,                0.33066,                0.84861,                0.62107,              0.0083913,              0.0083913,              0.0083913
                     15,                0.15022,                0.40812,                0.92772,                0.91263,                 0.9578,                0.98583,                 0.9772,                0.20122,                0.42208,                0.44155,              0.0082675,              0.0082675,              0.0082675
                     16,                0.14199,                0.39524,                0.93237,                0.85104,                 0.9089,                0.98402,                0.98037,                0.27822,                0.50864,                0.49257,              0.0081437,              0.0081437,              0.0081437
